id,wt,qsec,vs,am,gear,carb
1,2.62,16.46,0,1,4,4
2,2.875,17.02,0,1,4,4
3,2.32,18.61,1,1,4,1
4,3.215,19.44,1,0,3,1
5,3.44,17.02,0,0,3,2
6,3.46,20.22,1,0,3,1
7,3.57,15.84,0,0,3,4
8,3.19,20,1,0,4,2
9,3.15,22.9,1,0,4,2
10,3.44,18.3,1,0,4,4
11,3.44,18.9,1,0,4,4
12,4.07,17.4,0,0,3,3
13,3.73,17.6,0,0,3,3
14,3.78,18,0,0,3,3
15,5.25,17.98,0,0,3,4
16,5.424,17.82,0,0,3,4
17,5.345,17.42,0,0,3,4
18,2.2,19.47,1,1,4,1
19,1.615,18.52,1,1,4,2
20,1.835,19.9,1,1,4,1
21,2.465,20.01,1,0,3,1
22,3.52,16.87,0,0,3,2
23,3.435,17.3,0,0,3,2
24,3.84,15.41,0,0,3,4
25,3.845,17.05,0,0,3,2
26,1.935,18.9,1,1,4,1
27,2.14,16.7,0,1,5,2
28,1.513,16.9,1,1,5,2
29,3.17,14.5,0,1,5,4
30,2.77,15.5,0,1,5,6
31,3.57,14.6,0,1,5,8
32,2.78,18.6,1,1,4,2
